,Congress,ICPSR#,State#,HouseDist,State Name,Party,Name,Comm Number,1st Dim,2nd Dim,Log-Lik,TotalChoice,GeomMean,Pct Correct
1,112,29778,71,9,CALIFOR,100,LEE,C00331769,-0.744,-0.642,-98.24912,848,0.891,0.943
432,112,21143,23,3,MICHIGA,200,AMASH,C00476291,0.837,-0.548,-243.54541,837,0.748,0.858\
140,112,29942,71,43,CALIFOR,100,BACA,C00325449,-0.36,0.197,-150.07669,816,0.832,0.925\
148,112,14413,73,6,WASHING,100,DICKS,C00037606,-0.337,0.095,-158.79378,850,0.83,0.935\
28,112,21110,71,33,CALIFOR,100,BASS,C00476523,-0.57,-0.338,-82.5788,830,0.905,0.967\
35,112,29316,71,31,CALIFOR,100,BECERRA,C00264101,-0.554,-0.301,-96.91827,844,0.892,0.950\
80,112,15000,13,5,NEW YOR,100,ACKERMAN,C00165241,-0.458,-0.228,-134.09094,837,0.852,0.928\
232,112,29912,21,13,ILLINOI,200,BIGGERT,C00330241,0.312,-0.508,-195.83472,859,0.796,0.903\
436,112,20100,61,6,ARIZONA,200,FLAKE,C00347260,0.988,-0.158,-145.90193,843,0.841,0.938
161,112,29132,12,1,NEW JER,100,ANDREWS,C00243428,-0.317,-0.178,-157.37152,841,0.829,0.918\
377,112,20728,33,6,MINNESO,200,BACHMANN,C00410118,0.579,-0.259,-133.63252,572,0.792,0.914\
192,112,20507,44,12,GEORGIA,100,BARROW,C00384735,-0.132,0.378,-294.64697,863,0.711,0.851\
273,112,20940,24,7,OHIO,200,AUSTRIA,C00440115,0.4,-0.079,-104.43529,837,0.883,0.953\
14,112,29919,3,8,MASSACH,100,CAPUANO,C00336388,-0.627,0.023,-115.31084,839,0.872,0.936\
329,112,29356,52,6,MARYLAN,200,BARTLETT,C00255190,0.502,-0.053,-261.9068,856,0.736,0.876\
407,112,29550,24,1,OHIO,200,CHABOT,C00301838,0.656,-0.275,-111.5248,865,0.879,0.946\
38,112,14824,3,4,MASSACH,100,FRANK,C00128868,-0.545,-0.524,-121.05824,842,0.866,0.945\
